crosswalk_id,tube,on,off,distance
06-0000047920,신방화,6518.641025641025,6320.307692307692,458.41544795366156
06-0000022978,화곡,27246.28205128205,25422.128205128207,458.73788769682653
06-0000045671,발산,19879.82051282051,20772.97435897436,458.7551723672768
06-0000028752,발산,19879.82051282051,20772.97435897436,458.8914617899194
06-0000003145,공항시장,2778.153846153846,2968.974358974359,460.56288211108154
06-0000034367,등촌,10748.333333333334,10268.076923076924,460.9251112300863
06-0000013749,양천향교,8965.923076923076,9118.794871794871,462.0466352607649
06-0000045688,신방화,6518.641025641025,6320.307692307692,462.17964618140144
06-0000028001,개화산,5385.2307692307695,5159.564102564103,462.4369563556407
06-0000048575,화곡,27246.28205128205,25422.128205128207,462.6664702735399
06-0000028748,마곡,9872.205128205129,9996.28205128205,463.12154092136905
06-0000012370,화곡,27246.28205128205,25422.128205128207,463.2092307461145
06-0000044390,발산,19879.82051282051,20772.97435897436,463.38758203433275
06-0000035674,우장산,13611.076923076924,13370.076923076924,463.77211087890004
06-0000013358,가양,20669.30769230769,20122.74358974359,464.47332576023854
06-0000049689,우장산,13611.076923076924,13370.076923076924,464.53519280649704
06-0000032137,가양,20669.30769230769,20122.74358974359,464.9370808084714
06-0000025604,증미,6634.128205128205,6262.128205128205,464.9485129445035
06-0000024640,우장산,13611.076923076924,13370.076923076924,464.99319632481576
06-0000027774,우장산,13611.076923076924,13370.076923076924,465.1425776949695
06-0000031760,방화,6402.48717948718,6107.538461538462,465.705864393023
06-0000013489,방화,6402.48717948718,6107.538461538462,467.07472020648413
06-0000040311,화곡,27246.28205128205,25422.128205128207,467.09230833086104
06-0000012368,화곡,27246.28205128205,25422.128205128207,467.6505157522747
06-0000012168,양천향교,8965.923076923076,9118.794871794871,467.67895441624506
06-0000012441,화곡,27246.28205128205,25422.128205128207,467.7385292168186
06-0000013576,가양,20669.30769230769,20122.74358974359,468.3477227014047
06-0000022965,가양,20669.30769230769,20122.74358974359,468.46328665348796
06-0000045854,발산,19879.82051282051,20772.97435897436,469.90006184410635
06-0000045855,발산,19879.82051282051,20772.97435897436,470.26258626712735
06-0000037766,양천향교,8965.923076923076,9118.794871794871,470.62806604705804
06-0000045695,발산,19879.82051282051,20772.97435897436,471.1459845051375
06-0000013087,신방화,6518.641025641025,6320.307692307692,471.7728361665975
06-0000044696,신방화,6518.641025641025,6320.307692307692,473.36311711781013
06-0000044923,마곡,9872.205128205129,9996.28205128205,473.6684180384631
06-0000015674,양천향교,8965.923076923076,9118.794871794871,473.7582654064509
06-0000040095,우장산,13611.076923076924,13370.076923076924,474.0285481841848
06-0000011880,우장산,13611.076923076924,13370.076923076924,474.47864212140314
06-0000041606,화곡,27246.28205128205,25422.128205128207,475.5832814048242
06-0000041098,방화,6402.48717948718,6107.538461538462,476.0185207286007
06-0000015685,화곡,27246.28205128205,25422.128205128207,476.10019988691556
06-0000045827,신방화,6518.641025641025,6320.307692307692,476.5243597450268
06-0000035675,우장산,13611.076923076924,13370.076923076924,476.58318338760176
06-0000045690,신방화,6518.641025641025,6320.307692307692,478.1763963029052
06-0000013957,방화,6402.48717948718,6107.538461538462,478.70697176559355
06-0000045856,마곡나루,21288.871794871797,20787.07692307692,481.1163248138434
06-0000013953,신방화,6518.641025641025,6320.307692307692,481.13492902777216
06-0000050016,까치산,27313.358974358973,26170.25641025641,481.4440009762382
06-0000027999,개화,2470.230769230769,1631.820512820513,481.6076955199756
06-0000025583,등촌,10748.333333333334,10268.076923076924,481.84713975522027
06-0000034386,마곡나루,21288.871794871797,20787.07692307692,481.95144096250186
06-0000013088,신방화,6518.641025641025,6320.307692307692,482.0711941304553
06-0000049329,화곡,27246.28205128205,25422.128205128207,482.89528394297025
06-0000012440,화곡,27246.28205128205,25422.128205128207,483.20129018850423
06-0000028751,발산,19879.82051282051,20772.97435897436,483.688997854285
06-0000037756,가양,20669.30769230769,20122.74358974359,484.0587148053791
06-0000028879,염창,16735.410256410258,16139.615384615385,484.14408671219974
06-0000013486,방화,6402.48717948718,6107.538461538462,484.2524363471903
06-0000028880,염창,16735.410256410258,16139.615384615385,484.2820444788815
06-0000052709,양천향교,8965.923076923076,9118.794871794871,485.08081267665835
06-0000012524,신방화,6518.641025641025,6320.307692307692,485.15569787575794
06-0000052713,신방화,6518.641025641025,6320.307692307692,485.2458750487518
06-0000018477,등촌,10748.333333333334,10268.076923076924,485.33087761405494
06-0000052714,신방화,6518.641025641025,6320.307692307692,485.37658384677525
06-0000035676,우장산,13611.076923076924,13370.076923076924,485.6133783176457
06-0000033807,가양,20669.30769230769,20122.74358974359,485.97672147254264
06-0000049532,발산,19879.82051282051,20772.97435897436,485.99900667352574
06-0000045689,신방화,6518.641025641025,6320.307692307692,486.1856492830376
06-0000027775,우장산,13611.076923076924,13370.076923076924,486.3295972913686
06-0000012183,양천향교,8965.923076923076,9118.794871794871,486.3431258235439
06-0000049613,양천향교,8965.923076923076,9118.794871794871,486.69828171933005
06-0000013483,방화,6402.48717948718,6107.538461538462,486.80782925792505
06-0000041879,가양,20669.30769230769,20122.74358974359,486.94958343118776
06-0000047274,염창,16735.410256410258,16139.615384615385,487.1878094885432
06-0000003224,염창,16735.410256410258,16139.615384615385,487.2755191685592
06-0000045694,마곡,9872.205128205129,9996.28205128205,487.57142363434866
06-0000049547,양천향교,8965.923076923076,9118.794871794871,488.11780521613576
06-0000011879,우장산,13611.076923076924,13370.076923076924,488.2383096791562
06-0000028878,염창,16735.410256410258,16139.615384615385,488.38928334603236
06-0000049452,마곡나루,21288.871794871797,20787.07692307692,488.5687655427209
06-0000037767,양천향교,8965.923076923076,9118.794871794871,488.72432415522843
06-0000044383,등촌,10748.333333333334,10268.076923076924,488.82131578661995
06-0000023069,우장산,13611.076923076924,13370.076923076924,489.5978322630234
06-0000037791,개화산,5385.2307692307695,5159.564102564103,490.1731713570632
06-0000014047,김포공항,25718.53846153846,24021.153846153848,490.8243698560285
06-0000039068,화곡,27246.28205128205,25422.128205128207,491.45049090374795
06-0000045672,마곡나루,21288.871794871797,20787.07692307692,491.51965987842607
06-0000028002,개화산,5385.2307692307695,5159.564102564103,491.58794323411706
06-0000049533,발산,19879.82051282051,20772.97435897436,491.61504693244814
06-0000012367,화곡,27246.28205128205,25422.128205128207,492.27943696908676
06-0000013582,가양,20669.30769230769,20122.74358974359,492.7539560035401
06-0000048802,발산,19879.82051282051,20772.97435897436,492.7958741853202
06-0000027442,염창,16735.410256410258,16139.615384615385,493.1292584893388
06-0000049681,우장산,13611.076923076924,13370.076923076924,493.17692194038955
06-0000044697,신방화,6518.641025641025,6320.307692307692,493.6596913118476
06-0000049680,우장산,13611.076923076924,13370.076923076924,493.9942848624979
06-0000045673,마곡나루,21288.871794871797,20787.07692307692,494.1030116937032
06-0000013128,가양,20669.30769230769,20122.74358974359,494.1331273139576
06-0000027441,염창,16735.410256410258,16139.615384615385,494.25377754355736
06-0000012439,화곡,27246.28205128205,25422.128205128207,494.5476136180235
06-0000035041,양천향교,8965.923076923076,9118.794871794871,494.55143493212046
06-0000037224,까치산,27313.358974358973,26170.25641025641,494.73698895969846
06-0000034366,등촌,10748.333333333334,10268.076923076924,495.0345561387441
06-0000027443,염창,16735.410256410258,16139.615384615385,495.089054788429
06-0000048404,등촌,10748.333333333334,10268.076923076924,495.22403904185103
06-0000013127,가양,20669.30769230769,20122.74358974359,495.3185916937459
06-0000003647,까치산,27313.358974358973,26170.25641025641,495.3667313834799
06-0000014043,공항시장,2778.153846153846,2968.974358974359,495.78782192166517
06-0000044695,신방화,6518.641025641025,6320.307692307692,496.3567162546939
06-0000049610,양천향교,8965.923076923076,9118.794871794871,496.42509937282006
06-0000012127,까치산,27313.358974358973,26170.25641025641,496.71400834300954
06-0000024639,우장산,13611.076923076924,13370.076923076924,497.0316112253627
06-0000047275,등촌,10748.333333333334,10268.076923076924,497.34223423250074
06-0000013784,마곡나루,21288.871794871797,20787.07692307692,497.718494129855
06-0000002690,등촌,10748.333333333334,10268.076923076924,497.83805970371225
06-0000012525,신방화,6518.641025641025,6320.307692307692,498.28154265268836
06-0000012124,까치산,27313.358974358973,26170.25641025641,498.3106412119142
06-0000019572,신방화,6518.641025641025,6320.307692307692,498.3961947540487
06-0000031759,방화,6402.48717948718,6107.538461538462,499.06267664884433
06-0000036543,가양,20669.30769230769,20122.74358974359,499.23209491269927
06-0000037237,화곡,27246.28205128205,25422.128205128207,499.2907891634412
06-0000013583,가양,20669.30769230769,20122.74358974359,499.70806446598067
06-0000012113,까치산,27313.358974358973,26170.25641025641,500.37451373714447
06-0000012997,염창,16735.410256410258,16139.615384615385,501.00810794456527
06-0000050024,가양,20669.30769230769,20122.74358974359,501.2202904641099
06-0000049679,우장산,13611.076923076924,13370.076923076924,501.9874867332329
06-0000027437,염창,16735.410256410258,16139.615384615385,502.00908949722003
06-0000045675,마곡나루,21288.871794871797,20787.07692307692,502.13139446366375
06-0000049678,우장산,13611.076923076924,13370.076923076924,502.58427395335
06-0000049612,양천향교,8965.923076923076,9118.794871794871,502.6631815191449
06-0000027404,등촌,10748.333333333334,10268.076923076924,502.82936825659743
06-0000041173,발산,19879.82051282051,20772.97435897436,504.45767730958335
06-0000045676,마곡나루,21288.871794871797,20787.07692307692,504.7230965402293
