crosswalk_id,cafe,distance,cafe_area
06-0000023878,스타벅스 마곡GMG점,1169.0664551813904,217.35
06-0000013057,스타벅스 김포공항DT점,1171.374833505775,450.87
06-0000038699,스타벅스 김포공항DT점,1173.3850985488082,450.87
06-0000040242,스타벅스 화곡역8번출구점,1177.7554263896652,290.9
06-0000023877,스타벅스 마곡GMG점,1179.6384611602048,217.35
06-0000023874,스타벅스 마곡GMG점,1181.448736184128,217.35
06-0000048354,스타벅스 김포공항DT점,1184.8137719779838,450.87
06-0000025965,스타벅스 발산역사거리점,1185.1385286111563,377.66
06-0000049979,스타벅스 마곡GMG점,1190.055910474338,217.35
06-0000000037,스타벅스 김포공항DT점,1195.5619254890958,450.87
06-0000003232,스타벅스 마곡GMG점,1196.6570590197327,217.35
06-0000023876,스타벅스 마곡GMG점,1198.358913761091,217.35
06-0000048358,스타벅스 김포공항DT점,1201.2299037753564,450.87
06-0000028786,스타벅스 마곡GMG점,1202.9503017744537,217.35
06-0000000036,스타벅스 김포공항DT점,1213.5427532890762,450.87
06-0000039202,스타벅스 김포공항DT점,1214.2394152682398,450.87
06-0000039301,스타벅스 김포공항DT점,1214.4670352850223,450.87
06-0000039264,스타벅스 김포공항DT점,1214.5276509082698,450.87
06-0000038984,스타벅스 마곡GMG점,1216.9970273290123,217.35
06-0000038763,스타벅스 마곡GMG점,1217.551766976428,217.35
06-0000028791,스타벅스 마곡GMG점,1217.7878841355262,217.35
06-0000000041,스타벅스 김포공항DT점,1222.466491851018,450.87
06-0000025865,스타벅스 마곡GMG점,1223.5179646082918,217.35
06-0000002245,스타벅스 김포공항DT점,1227.4922405052955,450.87
06-0000037734,스타벅스 마곡GMG점,1229.4322191329163,217.35
06-0000028810,스타벅스 우장산역점,1231.11075118441,244.4
06-0000039268,스타벅스 마곡GMG점,1237.223039497776,217.35
06-0000028809,스타벅스 우장산역점,1239.409436208539,244.4
06-0000000042,스타벅스 김포공항DT점,1239.6028193722468,450.87
06-0000011275,스타벅스 마곡GMG점,1245.920072099235,217.35
06-0000038972,스타벅스 마곡GMG점,1253.1336398621331,217.35
06-0000038969,스타벅스 마곡GMG점,1254.300132125458,217.35
06-0000038973,스타벅스 마곡GMG점,1255.876338636334,217.35
06-0000028805,스타벅스 마곡GMG점,1257.6145340263517,217.35
06-0000028799,스타벅스 마곡GMG점,1258.234655305359,217.35
06-0000013152,스타벅스 마곡GMG점,1263.2969764729362,217.35
06-0000038971,스타벅스 마곡GMG점,1265.2097641203356,217.35
06-0000038970,스타벅스 마곡GMG점,1265.5005393680606,217.35
06-0000028795,스타벅스 마곡GMG점,1275.2195033506541,217.35
06-0000013153,스타벅스 마곡GMG점,1275.5554084224307,217.35
06-0000013150,스타벅스 마곡GMG점,1276.134955717707,217.35
06-0000023895,스타벅스 마곡GMG점,1283.2750662047315,217.35
06-0000028807,스타벅스 우장산역점,1283.476572053952,244.4
06-0000028806,스타벅스 마곡GMG점,1284.4665402826308,217.35
06-0000014249,스타벅스 김포공항DT점,1288.9879432895439,450.87
06-0000023896,스타벅스 마곡GMG점,1296.3990259054601,217.35
06-0000013058,스타벅스 김포공항DT점,1298.752849424553,450.87
06-0000013151,스타벅스 마곡GMG점,1302.8105642353303,217.35
06-0000011691,스타벅스 우장산역점,1320.6245066815536,244.4
06-0000028808,스타벅스 우장산역점,1322.3325494096853,244.4
06-0000037832,스타벅스 우장산역점,1324.9249246420022,244.4
06-0000013154,스타벅스 마곡GMG점,1325.9415011853312,217.35
06-0000014247,스타벅스 김포공항DT점,1330.3330504078606,450.87
06-0000038099,스타벅스 김포공항DT점,1335.8917441731714,450.87
06-0000011690,스타벅스 우장산역점,1340.488564201423,244.4
06-0000002634,스타벅스 김포공항DT점,1354.6334549762412,450.87
06-0000037831,스타벅스 우장산역점,1358.4945385378624,244.4
